id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_82,Wall T125 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10082,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_83,Wall T125 Rockwool Stainless steel 304/Stainless steel 304,,,P10083,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_84,Wall T125 Rockwool Color steel sheet/Stainless steel 304,,,P10084,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_85,Wall T125 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10085,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_86,Wall T150 Rockwool Color steel sheet/Color steel sheet,,,P10086,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_87,Wall T150 Rockwool Color steel sheet/Galvanized steel sheet,,,P10087,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_88,Wall T150 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10088,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_89,Wall T150 Rockwool Stainless steel 304/Stainless steel 304,,,P10089,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_90,Wall T150 Rockwool Color steel sheet/Stainless steel 304,,,P10090,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_91,Wall T150 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10091,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
