id,name_notused,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_155,ห้างหุ้นส่วนจำกัด เค อาร์ อาร์ ดีไซด์ กรุ๊ป,"KRR Design Group Ltd.,Part.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,25/16 หมู่ 8,แขวง บางตลาด เขต ปากเกร็ด,11120,นนทบุรี,Thailand,0-2984-4298-9,,0-2984-4404,,,,,Weeranuwat S.
res_partner_cust_156,บริษัท คัมภีร์วิศวกรรม จำกัด,"Kumpeera Engineering Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,96/98 ซอย นพเก้า ถ.ประชาชื่น,แขวง บางซื่อ เขต บางซื่อ,108000,กรุงเทพมหานคร,Thailand,0-2926-5650,,0-2195-2807,,,,,Weeranuwat S.
res_partner_cust_157,บริษัท กาญจน์ญาณ์ จำกัด,บริษัท กาญจน์ญาณ์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,77/38 หมู่ 6,แขวง บึงคำพร้อย เขต ลำลูกกา,12150,ปทุมธานี,Thailand,,08-7917-5175,0-2532-7386,,,,,Chatchai T.
res_partner_cust_158,บริษัท โกเบ เอ็นจิเนียริ่ง จำกัด,"Kobe Engineering Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,67/9 หมู่ 5,แขวง บางหญ้าแพรก เขต พระประแดง,10130,สมุทรปราการ,Thailand,0-2754-5503,,,,,,,Chatchai T.
res_partner_cust_159,บริษัท คาวาซูมิ ลาบอราทอรี่ (ประเทศไทย) จำกัด,"Kawasumi Laboratories (Thailand) Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,55/26 หมู่ 13 ถ.พหลโยธิน กม. 46,แขวง คลองหนึ่ง เขต คลองหลวง,12120,ปทุมธานี,Thailand,0-2966-0911,,0-2966-0916-7,,,,,
res_partner_cust_160,บริษัท ไลฟบอคซ์ โมดูล่า จำกัด,"Lifes Box Modular Co.,Ltd.",,Cash,200000,TRUE,TRUE,FALSE,,Default,FALSE,455/64 หมู่ 1 ถ.รัตนราช,แขวง บางบ่อ เขต บางบ่อ,10560,สมุทรปราการ,Thailand,,,,,,,,Visak T.
res_partner_cust_161,ห้างหุ้นส่วนจำกัด ลำพูน เจเนอร์รัล เอ็นจิเนียริ่ง,"Lumphun General Engineering Ltd.,Part.",,30 Days,2000000,TRUE,TRUE,FALSE,,Default,FALSE,192/36 หมู่ 15,แขวง ป่าสัก เขต เมือง,51000,ลำพูน,Thailand,0-5358-4991-2,,"0-5358-4993, 0-5358-4458",,,,,Chatchai T.
res_partner_cust_162,บริษัท แม็คคาตริค จำกัด,"Mechatric Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1564/19 ถ.ประชาราษฎร์ 1,แขวง บางซื่อ เขต บางซื่อ,10800,กรุงเทพมหานคร,Thailand,"0-2913-2237-8, 0-2587-8462-3",,0-2913-2239,,,,,Chairat S.
res_partner_cust_163,บริษัท เอ็ม แอนด์ ดับเบิลยู แซนเดอร์ (ไทย) จำกัด,"M + W Zander (Thai) Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,252/91 อาคาร เมืองไทยภัทร ทาวเวอร์ ชั้น 16 ถ.รัชดาภิเษก,แขวง ห้วยขวาง เขต ห้วยขวาง,10320,กรุงเทพมหานคร,Thailand,0-2693-3222-4,,0-2693-3225,,,,,Chairat S.
res_partner_cust_164,บริษัท เอ็ม.ที. อินโนเวชั่น จำกัด,"M.T. Innovation Co.,Ltd.",,Cash,1000000,TRUE,TRUE,FALSE,,Default,FALSE,293/310 ซอย รามอินทรา 119 ถ.รามอินทรา,แขวง มีนบุรี เขต มีนบุรี,10510,กรุงเทพมหานคร,Thailand,0-2934-4026,,0-2934-4027,,,,,Dusit T.
