"id","loc_rack","loc_row","loc_case"
"product.product_part_252","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_253",,,"โกดังอะลูมิเนียม"
"product.product_part_254","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_255","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_256",,,"โกดังอะลูมิเนียม"
"product.product_part_257","01-17",,"โกดังอะลูมิเนียม"
"product.product_part_258",,,"โกดังอะลูมิเนียม"
"product.product_part_259",,,"โกดังอะลูมิเนียม"
"product.product_part_260","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_261","01-18",,"โกดังอะลูมิเนียม"
"product.product_part_262","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_263","01-20",,"โกดังอะลูมิเนียม"
"product.product_part_264",,,"โกดังอะลูมิเนียม"
"product.product_part_265","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_266",,,"โกดังอะลูมิเนียม"
"product.product_part_267",,,"โกดังอะลูมิเนียม"
"product.product_part_268",,,"โกดังอะลูมิเนียม"
"product.product_part_269",,,"โกดังอะลูมิเนียม"
"product.product_part_270",,,"โกดังอะลูมิเนียม"
"product.product_part_271",,,"โกดังอะลูมิเนียม"
"product.product_part_272",,,"โกดังอะลูมิเนียม"
"product.product_part_273",,,"โกดังอะลูมิเนียม"
"product.product_part_274",,,"โกดังอะลูมิเนียม"
"product.product_part_275",,,"โกดังอะลูมิเนียม"
"product.product_part_276",,,"โกดังอะลูมิเนียม"
"product.product_part_277",,,"โกดังอะลูมิเนียม"
"product.product_part_278",,,"โกดังอะลูมิเนียม"
"product.product_part_279","Palete",,"Store ชั้น 2"
"product.product_part_280","Palete",,"Store ชั้น 2"
"product.product_part_281","Palete",,"Store ชั้น 2"
"product.product_part_282","02-02",,"Store ชั้น 2"
"product.product_part_283","02-02",,"Store ชั้น 2"
"product.product_part_284","02-02",,"Store ชั้น 2"
"product.product_part_285","Palete",,"Store ชั้น 2 New"
"product.product_part_286","Palete",,"Store ชั้น 2"
"product.product_part_287","02-01",,"Store ชั้น 2"
"product.product_part_288","02-01",,"Store ชั้น 2"
"product.product_part_289","02-01",,"Store ชั้น 2"
"product.product_part_290","02-01",,"Store ชั้น 2"
"product.product_part_291","Palete",,"Store ชั้น 2"
"product.product_part_292","02-01",,"Store ชั้น 2"
"product.product_part_293","02-01",,"Store ชั้น 2"
"product.product_part_294","Palete",,"ด้านล่าง"
"product.product_part_295","Palete",,"Store ชั้น 2"
"product.product_part_296","Palete",,"Store ชั้น 2"
"product.product_part_297","ซิลิโคน",,"ห้องเคมี"
"product.product_part_298","02-02",,"Store ชั้น 2"
"product.product_part_299","02-02",,"Store ชั้น 2"
"product.product_part_300","ซิลิโคน",,"ห้องเคมี"
"product.product_part_301","Palete",,"Store ชั้น 2"
"product.product_part_302","Palete",,"Store ชั้น 2 New"
"product.product_part_303","Palete",,"Store ชั้น 2"
"product.product_part_304","02-02",,"Store ชั้น 2"
"product.product_part_305","02-02",,"Store ชั้น 2"
"product.product_part_306","02-02",,"Store ชั้น 2"
"product.product_part_307","02-03",,"Store ชั้น 2"
"product.product_part_308","Palete",,"Store ชั้น 2 New"
"product.product_part_309","02-09",,"Store ชั้น 2"
"product.product_part_310","02-03",,"Store ชั้น 2"
"product.product_part_311","02-08",,"Store ชั้น 2"
"product.product_part_312","02-03",,"Store ชั้น 2"
"product.product_part_313","Palete",,"Store ชั้น 2"
"product.product_part_314","02-03",,"Store ชั้น 2"
"product.product_part_315","Palete",,"Store ชั้น 2 New"
"product.product_part_316","Palete",,"Store ชั้น 2 New"
"product.product_part_317","02-03",,"Store ชั้น 2"
"product.product_part_318","02-03",,"Store ชั้น 2"
"product.product_part_319","02-03",,"Store ชั้น 2"
"product.product_part_320","02-03",,"Store ชั้น 2"
"product.product_part_321","02-03",,"Store ชั้น 2"
"product.product_part_322","02-03",,"Store ชั้น 2"
"product.product_part_323","02-03",,"Store ชั้น 2"
"product.product_part_324",,,"ไม่มีของ"
"product.product_part_325","02-03",,"Store ชั้น 2"
"product.product_part_326","02-03",,"Store ชั้น 2"
"product.product_part_327","02-03",,"Store ชั้น 2"
"product.product_part_328","02-03",,"Store ชั้น 2"
"product.product_part_329","02-03",,"Store ชั้น 2"
"product.product_part_330",,,"ไม่มีของ"
"product.product_part_331","ซิลิโคน",,"ห้องเคมี"
"product.product_part_332","ซิลิโคน",,"ห้องเคมี"
"product.product_part_333","02-09",,"Store ชั้น 2"
"product.product_part_334","02-03",,"Store ชั้น 2"
"product.product_part_335","02-03",,"Store ชั้น 2"
"product.product_part_336","02-03",,"Store ชั้น 2"
"product.product_part_337","02-03",,"Store ชั้น 2"
"product.product_part_338","02-03",,"Store ชั้น 2"
"product.product_part_339","02-04",,"Store ชั้น 2"
"product.product_part_340","กระจก",,"โกดังคอยล์"
"product.product_part_341","02-04",,"Store ชั้น 2"
"product.product_part_342","ซิลิโคน",,"ห้องเคมี"
"product.product_part_343","02-04",,"Store ชั้น 2"
"product.product_part_344","02-04",,"Store ชั้น 2"
"product.product_part_345","02-04",,"Store ชั้น 2"
