id,name,code,parent_id/id,type,user_type/id,reconcile
coa_sqp_101132,โปรแกรมคอมพิวเตอร์,101132,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101133,อุปกรณ์สำนักงาน,101133,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101140,เครื่องตกแต่งสำนักงาน,101140,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101150,เครื่องมือเครื่องใช้,101150,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101151,อุปกรณ์ในโรงงาน,101151,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101152,อุปกรณ์เครื่องจักร,101152,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101160,อุปกรณ์สำนักงาน,101160,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101170,ยานพาหนะ,101170,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101180,เครื่องจักร,101180,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101181,อุปกรณ์เครื่องจักร,101181,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101190,งานระหว่างก่อสร้าง,101190,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_1019,ค่าเสื่อมราคาสะสม,1019,coa_sqp_103,View,account.data_account_type_view,FALSE
coa_sqp_101911,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงที่ดิน,101911,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101920,ค่าเสื่อมราคาสะสม-อาคารและสิ่งปลูกสร้าง,101920,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101921,ค่าเสื่อมราคาสะสม-อาคารและสิ่งปลูกสร้างโรงงาน,101921,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101930,ค่าเสื่อมราคาสะสม-เครื่องใช้สำนักงาน,101930,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101931,ค่าเสื่อมราคาสะสม-อุปกรณ์สำนักงาน,101931,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101932,ค่าเสื่อมราคาสะสม-โปรแกรม,101932,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101940,ค่าเสื่อมราคาสะสม-เครื่องตกแต่งและติดตั้ง,101940,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101950,ค่าเสื่อมราคาสะสม-เครื่องมือเครื่องใช้,101950,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101951,ค่าเสื่อมราคาสะสม-อุปกรณ์โรงงาน,101951,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101970,ค่าเสื่อมราคาสะสม-ยานพาหนะ,101970,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101980,ค่าเสื่อมราคาสะสม-เครื่องจักร,101980,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
coa_sqp_101981,ค่าเสื่อมราคาสะสม-อุปกรณ์เครื่องจักร,101981,coa_sqp_1019,Regular,account.data_account_type_asset,FALSE
