id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_coldroom_83,"Swing door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 150 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,55000
product_coldroom_84,"Swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 150 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,77760
product_coldroom_85,"Swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 150 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,59000
product_coldroom_86,"Swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 150 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,81000
product_coldroom_87,"Sliding door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,70000
product_coldroom_88,"Sliding door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,85000
product_coldroom_89,"Sliding door (3 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,100000
product_coldroom_90,"Sliding door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,75000
product_coldroom_91,"Sliding door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,90000
product_coldroom_92,"Sliding door (4 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,120000
product_coldroom_93,Heater for door ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,130
product_coldroom_94,Door hinge for Swing door (Kason) (Double) ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,9750
product_coldroom_95,Door Latch for Swing door (Kason) ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,7800
product_coldroom_96,Door Closer for Swing door ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,3640
product_coldroom_97,Door packing rubber (E : Shape) ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,650
product_coldroom_98,Door packing rubber for Sliding door ,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,780
product_coldroom_99,"Entrance door for Swing door Size : (W) 800 x (H) 1,800 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,26000
product_coldroom_100,"Entrance door for Swing door Size : (W) 1,200 x (H) 2,000 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,28600
product_coldroom_101,"Panel for door Size : (W) 800 x (H) 1,800 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,21060
product_coldroom_102,"Panel for door Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,26000
product_coldroom_103,"Panel for door Size : (W) 1,200 x (H) 2,000 x (T) 50 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,24700
product_coldroom_104,"Panel for door Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,32500
product_coldroom_105,Aluminium cap for Heater,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,390
product_coldroom_106,Insulation bolt  (n : ½) L = 110,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,104
product_coldroom_107,Insulation bolt  (n : ½) L = 170,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,156
product_coldroom_108,Hanging plate with roller,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,3900
product_coldroom_109,Handle for sliding door (Out side),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,9100
product_coldroom_110,Handle for sliding door (Inside),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,7800
product_coldroom_111,Hinge for key,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,2600
product_coldroom_112,"Entrance for Sliding door Size : (W) 800 x (H) 1,800 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,26000
product_coldroom_113,"Entrance for Sliding door Size : (W) 1,200 x (H) 2,000 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,28600
product_coldroom_114,"Panel for Sliding door Size : (W) 800 x (H) 1,800 x (T) 75 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,28600
product_coldroom_115,"Panel for Sliding door Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,31200
product_coldroom_116,"Panel for Sliding door Size : (W) 1,200 x (H) 2,000 x (T) 75 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,31200
product_coldroom_117,"Panel for Sliding door Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,40300
product_coldroom_118,"Aluminium Rail for door Size : (W) 800 x (H) 1,800 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,7150
product_coldroom_119,"Aluminium Rail for door Size : (W) 1,200 x (H) 2,000 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,8450
product_coldroom_120,Steel cover for door,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,1040
product_coldroom_121,Insulation Panel for Door SUS304 / SUS304 (T) 75 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,7800
product_coldroom_122,Insulation Panel for Door Color / Color (T) 75 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,5200
product_coldroom_123,Insulation Panel for Door SUS304 / SUS304 (T) 100 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,8450
product_coldroom_124,Insulation Panel for Door Color / Color (T) 100 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,5850
product_coldroom_125,Insulation Panel for Door SUS304 / SUS304 (T) 125 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,9100
product_coldroom_126,Insulation Panel for Door Color / Color (T) 125 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,6500
product_coldroom_127,Insulation Panel for Door SUS304 / SUS304 (T) 150 mm.,,,Cold Room,TRUE,FALSE,Service,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,9750
