"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_123","AL CEILING BEAM(I)(AP)","SP01200","Aluminium","pcs","kg",8,"01-23",,"โกดังอะลูมิเนียม",,
"product.product_part_124","AL CEILING BEAM(II)(MF)","SP01202","Aluminium","pcs","kg",8,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_125","AL FLOOR BASE(II)(NA.1)","SP01205","Aluminium","pcs","kg",5,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_126","AL FLOOR BASE(II)(MF)","SP01206","Aluminium","pcs","kg",5,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_127","AL FLOOR BASE(II)(OW)","SP01207","Aluminium","pcs","kg",5,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_128","AL FLOOR BASE(II)(AP)","SP01208","Aluminium","pcs","kg",5,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_129","AL ANGLE FOR COLD DOOR FRAME(NA.1)","SP01209","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_130","AL ANGLE FOR COLD DOOR FRAME(MF)","SP01210","Aluminium","pcs","kg",3,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_131","AL ANGLE FOR COLD DOOR FRAME(OW)","SP01211","Aluminium","pcs","kg",3,"01-09",,"โกดังอะลูมิเนียม",,
"product.product_part_132","AL ANGLE FOR COLD DOOR FRAME(AP)","SP01212","Aluminium","pcs","kg",3,"01-20",,"โกดังอะลูมิเนียม",,
"product.product_part_133","AL FRAME 50 mm(MF)","SP01218","Aluminium","pcs","kg",1,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_134","AL SLIDING RAIL 6 m(COLD ROOM)(NA.1)","SP01221","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_135","AL SLIDING RAIL 6 m(COLD ROOM)(MF)","SP01222","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_136","AL SLIDING RAIL 6 m(COLD ROOM)(OW)","SP01223","Aluminium","pcs","kg",34,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_137","AL SLIDING RAIL 6 m(COLD ROOM)(AP)","SP01224","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_138","AL SLIDING GUIDE(NA.1)","SP01225","Aluminium","pcs","kg",6,,,"โกดังอะลูมิเนียม",,
"product.product_part_139","AL SLIDING GUIDE(MF)","SP01226","Aluminium","pcs","kg",6,,,"โกดังอะลูมิเนียม",,
"product.product_part_140","AL SLIDING GUIDE(OW)","SP01227","Aluminium","pcs","kg",6,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_141","AL SLIDING GUIDE(AP)","SP01228","Aluminium","pcs","kg",6,,,"โกดังอะลูมิเนียม",,
"product.product_part_142","AL U CAP40X75X40 mm(NA.1)","SP01233","Aluminium","pcs","kg",,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_143","AL U CAP40X75X40 mm(MF)","SP01234","Aluminium","pcs","kg",,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_144","AL U CAP40X75X40 mm(OW)","SP01235","Aluminium","pcs","kg",,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_145","AL U CAP40X75X40 mm(AP)","SP01236","Aluminium","pcs","kg",,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_146","AIR RETURN AL FRAME.(NA.1)","SP01237","Aluminium","pcs","kg",,"01-18",,"โกดังอะลูมิเนียม",,
"product.product_part_147","AL SLIDING RAIL 4 m(COLD ROOM)(NA.1)","SP01242","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_148","AL SLIDING RAIL 4 m(COLD ROOM)(MF)","SP01243","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_149","AL SLIDING RAIL 4 m(COLD ROOM)(OW)","SP01244","Aluminium","pcs","kg",34,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_150","AL SLIDING RAIL 4 m(COLD ROOM)(AP)","SP01245","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_151","AL SLIDING RAIL 3 m(COLD ROOM)(NA.1)","SP01246","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_152","AL SLIDING RAIL 3 m(COLD ROOM)(MF)","SP01247","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_153","AL SLIDING RAIL 3 m(COLD ROOM)(OW)","SP01248","Aluminium","pcs","kg",34,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_154","AL SLIDING RAIL 3 m(COLD ROOM)(AP)","SP01249","Aluminium","pcs","kg",34,,,"โกดังอะลูมิเนียม",,
"product.product_part_155","DOOR FRAME 75 mm(MF)","SP01262","Aluminium","pcs","kg",9,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_156","DOOR FRAME 75 mm(OW)","SP01263","Aluminium","pcs","kg",9,"01-05",,"โกดังอะลูมิเนียม",,
